VGS BS,VGS NS
250,150
250,150
300,150
400,200
400,150
300,1400
350,200
350,100
300,150
300,150
300,150
300,100
1350,150
200,150
300,200
350,150
300,150
200,150
200,200
300,200
300,150
250,150
350,150
250,150
250,150
350,200
300,150
250,250
200,150
300,200
200,150
250,200
250,150
200,150
300,150
500,150
200,150
300,150
200,200
150,150
250,200
350,150
200,150
200,200
300,200
300,250
200,150
350,200
200,150
250,150
300,150
300,150
250,150
250,150
200,200
200,1900
150,200
350,150
250,150
350,250
400,200
250,150
250,200
250,1700
200,150
400,200
350,150
450,300
350,150
250,150
