Cell,Initial Spike t,Type
M01_CN_A1_C02,0.8147,NS
M01_CN_A5_C13,0.8212,NS
M01_CN_A5_C14,0.8256,NS
M01_MW_D4_C10,0.815,NS
M01_MW_D5_C14,0.8197,NS
M02_JS_D2_C09,0.81965,NS
M02_JS_D3_C08,0.81875,NS
M02_JS_D5_C03,0.82975,NS
M02_JS_D6_C02,0.8185,NS
M02_MW_D4_C09,0.836,NS
M02_MW_D5_C11,0.82595,NS
M02_SM_A4_C07,0.8204,NS
M02_SM_A6_C16,0.8176,NS
M03_JS_A1_C01,0.682,NS
M03_JS_A1_C03,0.6637,NS
M03_JS_A1_C04,0.6936,NS
M03_JS_A1_C06,0.6663,NS
M03_MW_A1_C02,0.66285,NS
M03_MW_A1_C07,0.6584,NS
M04_JS_A1_C05,0.66775,NS
M05_JS_A1_C06,0.6682,NS
M05_MW_A1_C04,0.66605,NS
M06_SM_A1_C12,0.6663,NS
M08_JS_A1_C01,0.66885,NS
M08_JS_A1_C03,0.66385,NS
M08_JS_A1_C14,0.67145,NS
M08_SM_A1_C03,0.6638,NS
M10_JS_A1_C09,0.6761,NS
M10_JS_A1_C13,0.66985,NS
M10_JS_A1_C15,0.69665,NS
M10_JS_A1_C19,0.67415,NS
M10_JS_A1_C22,0.6806,NS
M10_JS_A1_C26,0.69325,NS
M10_SA_A1_C07,0.6727,NS
M10_SA_A1_C08,0.67425,NS
M01_CN_A4_C10,0.8192,BS
M01_CN_A4_C12,0.8177,BS
M01_JS_A4_C11,0.8341,BS
M01_JS_B1_C14,0.8236,BS
M01_JS_B2_C17,0.8225,BS
M01_MW_D2_C03,0.8183,BS
M01_MW_D2_C05,0.8321,BS
M01_SM_A5_C12,0.846,BS
M01_SM_A7_C17,0.8261,BS
M02_JS_D1_C11,0.85715,BS
M02_JS_D3_C07,0.8183,BS
M02_JS_D4_C06,0.8507,BS
M02_MW_D3_C06,0.8366,BS
M02_MW_D6_C12,0.85185,BS
M02_MW_D6_C13,0.84605,BS
M02_SM_A5_C12,0.83165,BS
M03_JS_A1_C05,0.6632,BS
M03_JS_A1_C18,0.682,BS
M03_JS_A1_C19,0.67305,BS
M03_JS_A1_C20,0.6773,BS
M03_MW_A1_C03,0.69795,BS
M03_MW_A1_C06,0.69315,BS
M03_MW_A1_C08,0.66935,BS
M03_MW_A1_C11,0.67495,BS
M03_MW_A1_C16,0.6654,BS
M04_JS_A1_C02,0.6787,BS
M04_JS_A1_C04,0.66565,BS
M04_JS_A1_C08,0.66135,BS
M04_JS_A1_C12,0.68575,BS
M04_JS_A1_C13,0.67095,BS
M04_JS_A1_C14,0.7271,BS
M04_JS_A1_C15,0.68715,BS
M04_MW_A1_C08,0.66915,BS
M04_MW_A1_C09,0.68405,BS
M04_SM_A1_C12,0.6616,BS
M05_JS_A1_C01,0.67225,BS
M05_JS_A1_C02,0.67885,BS
M05_JS_A1_C03,0.687,BS
M05_JS_A1_C05,0.66685,BS
M05_JS_A1_C11,0.6761,BS
M05_SM_A1_C02,0.6831,BS
M06_MW_A1_C01,0.6735,BS
M06_SM_A1_C01,0.6672,BS
M06_SM_A1_C09,0.6697,BS
M08_JS_A1_C04,0.65905,BS
M08_MW_A1_C02,0.70735,BS
M08_MW_A1_C03,0.7026,BS
M08_MW_A1_C06,0.68455,BS
M08_SM_A1_C04,0.66205,BS
M08_SM_A1_C09,0.68775,BS
M10_JS_A1_C02,0.68645,BS
M10_JS_A1_C03,0.67795,BS
M10_JS_A1_C04,0.6803,BS
M10_JS_A1_C05,0.6767,BS
M10_JS_A1_C08,0.6775,BS
M10_JS_A1_C14,0.70275,BS
M10_JS_A1_C23,0.7193,BS
M10_JS_A1_C27,0.66435,BS
M10_MJ_A1_C03,0.6986,BS
M10_MJ_A1_C06,0.67325,BS
M10_SA_A1_C03,0.671,BS
