VGS BS,Patch BS,VGS NS,Patch NS
-13.4383866304712,-9.90072310825171,-12.3400512541991,NaN
-5.2415223976963,-1.60270636343743,-56.1775074999961,-65.6421725931596
-9.94357729860513,-17.0480118354349,-17.3117319372252,-0.486859478897931
-3.9774696570155,NaN,-9.34403907275732,-72.7970499636445
-3.65980416776657,-1.41162161085284e-07,-14.8768393551402,-0.0986309637140775
NaN,-11.0664146354741,-25.9231514310363,-122.159884149933
-6.35847118608443,NaN,-2.55926361976014,-188.330560341354
-24.1557789817519,-8.93704529134733,NaN,-25.2392905557473
-2.80625077572872,-81.1264523299722,NaN,-0.259793495325591
-25.2167505980702,-54.2674800157894,NaN,-13.7403537595458
-6.44193048846369,-103.714933701736,NaN,-3.48245599658716
-27.4585475135364,-53.8004958622086,NaN,-117.043562640997
-11.9443698463637,-5.39160570892992,NaN,-0.0526889223641628
-2.40244102234099,-8.5314896233365,NaN,-58.4834269354508
-2.22671177655493,-7.23466811587955,NaN,-0.0165269524322504
-7.51147238937746,-3.86623386220378,NaN,-0.105289889882782
-11.5510864265968,-115.895728980026,NaN,-4.89155204438377
-2.42566601733113,-17.0179188744872,NaN,-85.5619900121413
-158.197604896798,-0.0863303995653836,NaN,-194.107093594452
-10.5327278462597,-14.1444453921158,NaN,-54.7396566705365
NaN,-36.1058278385093,NaN,-0.945367204491542
-8.64698685179424,-11.0996160433527,NaN,-27.1246179779522
-18.0888699994638,-19.1461280396882,NaN,-34.3192002999212
-7.1578700749242,-13.4953192572978,NaN,-0.31581459350888
NaN,-34.9607658308802,NaN,-6.75585592907661
-45.4109616597279,NaN,NaN,-2.92232608593612
NaN,NaN,NaN,-0.0884114111627451
-8.01505380535385,-2.61116130101284,NaN,-88.1323561151973
NaN,-21.5081653061094,NaN,-0.101483143027774
NaN,-9.46730374132937,NaN,-3.32097248362083
NaN,-16.3200363527546,NaN,-0.0937161301861972
NaN,-2.53990913798991,NaN,-59.8254484698802
NaN,-13.1780136975614,NaN,-7.73015068503193
NaN,-15.0268708235858,NaN,NaN
NaN,-0.647685825947212,NaN,-24.161446165391
NaN,NaN,NaN,NaN
NaN,-6.0435641883606,NaN,NaN
NaN,-9.29774961133722,NaN,NaN
NaN,-6.20359759067916,NaN,NaN
NaN,-0.0692981215494888,NaN,NaN
NaN,-3.02218556329567,NaN,NaN
NaN,-7.91817911611864,NaN,NaN
NaN,NaN,NaN,NaN
NaN,-8.33953208733677,NaN,NaN
NaN,-55.2024220069324,NaN,NaN
NaN,-27.9973755762622,NaN,NaN
NaN,-11.5488212143952,NaN,NaN
NaN,-2.75990566180986,NaN,NaN
NaN,NaN,NaN,NaN
NaN,-19.5958951580362,NaN,NaN
NaN,-52.9424645535003,NaN,NaN
NaN,-0.0295716380625422,NaN,NaN
NaN,-1.84663369104587,NaN,NaN
NaN,NaN,NaN,NaN
NaN,-34.4556540678484,NaN,NaN
NaN,-29.3773827599949,NaN,NaN
NaN,NaN,NaN,NaN
NaN,-0.843750071287077,NaN,NaN
NaN,-6.73640138559685,NaN,NaN
NaN,-2.45164009523018,NaN,NaN
NaN,-2.21869722438543,NaN,NaN
