PSTH,condition,anim,Offset (a),Coefficient (b),Exponent (c),Cell,Latency
21.2232297896971,4,1,2.73299733708648,11.6139599241269,-13.4383866304712,T20170330_VChan007_2,260
73.5524256651017,4,1,8.75475537651095,40.1124520338612,-5.2415223976963,T20170330_VChan010_2,340
47.744091668656,4,1,6.5715827887832e-08,33.4353130244732,-9.94357729860513,T20170330_VChan012_3,160
34.5935260686929,4,1,2.56975184028777e-06,22.4050353110845,-3.9774696570155,T20170330_VChan013_2,480
14.6478873239437,4,1,1.15440309605745,8.0622777971814,-3.65980416776657,T20170330_VChan016_3,560
42.0263516583371,5,1,8.8904874509037e-07,28.9110595538903,-6.35847118608443,T20170408_VChan079_2,150
51.3812488665901,5,1,5.68709584731629,33.2261284516998,-24.1557789817519,T20170408_DChan062_4,130
21.1890813910009,6,1,0.35789932526321,10.0989820892532,-2.80625077572872,T20170413_Velec77_1,260
39.4638361570388,6,1,4.49667915864941,24.2190343895346,-25.2167505980702,T20170413_Velec66_2,130
24.194245225957,6,1,6.47330431050115e-07,17.7579964814408,-6.44193048846369,T20170413_Velec63_1,300
20.7446227754122,6,1,8.1369671898205,5.32469530648289,-27.4585475135364,T20170413_Velec65_1,390
27.0226007206027,6,1,4.9496267446977,8.46224869871334,-11.9443698463637,T20170413_Velec52_1,600
27.0549852789051,6,1,4.27718550651909e-06,15.7407477328032,-2.40244102234099,T20170413_Velec52_2,520
19.2061459667094,6,1,1.18012372812572e-05,11.389142717603,-2.22671177655493,T20170413_Velec3_2,250
38.4122919334187,1,2,1.61016144071485,21.4703839874385,-7.51147238937746,B20171109_VChan093_2,210
73.5524256651017,1,2,22.7314347055824,22.5259691910608,-11.5510864265968,B20171109_DChan013_2,310
33.1400165700083,1,2,2.76077278039782e-05,17.3171511944668,-2.42566601733113,B20171109_DChan017_3,350
24.9598858976645,1,2,8.56025661919774,8.45690040768663,-158.197604896798,B20171109_DChan017_4,190
25.7885340210276,1,2,2.45560325949471,11.9493039747689,-10.5327278462597,B20171109_DChan025_4,240
29.5600765084333,1,2,0.055571040605998,17.979854877005,-8.64698685179424,B20171109_DChan069_2,170
47.4758664345624,1,2,6.3750676492987,25.2548870073886,-18.0888699994638,B20171109_DChan085_6,190
53.8059819591708,2,2,1.1398704204189e-06,33.1465462137484,-7.1578700749242,B20171110_VChan093_4,170
50.0782472613459,2,2,22.9417945172525,11.1582891400331,-45.4109616597279,B20171110_DChan088_3,430
53.20813771518,3,2,3.61861178155795,28.1421233036731,-8.01505380535385,B20171111_VChan063_2,330
