τ_step,τ_VGS,τ_VGS_I
1.1850769115835071,2.065491919767011,1.8301176706400462
3.3121233134497223,2.7510503138740234,2.0553472507777566
1.138163242363523,2.479963937968309,1.9183811684864456
3.9942835464377247,2.3890335898877986,2.0572095456143438
0.9152791655175655,2.7199242168949747,1.869139202325737
0.7245696423048535,3.2305725347620444,2.0198389056799417
1.5977411807676576,2.447814712583754,1.7922015875467205
3.5758244261281,2.3800708447137677,2.0560191710146842
1.8617807806453301,2.4432738441501436,1.7428603874515782
2.458100995620299,2.3481218526094896,1.9172367572074638
0.931710433972405,2.9637836606185917,1.9073878044497057
4.241764516395352,2.6570869065848686,2.0627934303708932
1.2332625942198028,2.167841591655203,1.7977519119962817
4.59958697070404,2.354165426072745,2.0684440984722907
3.9543635980338383,2.4449292170673353,2.059697859859782
2.3105515317061145,2.337970484058917,1.8831424460918844
1.0685618664746561,0.8914349538287667,1.8822041624627386
0.7122444643077276,3.2174585404969682,1.9940138144782966
1.261467405550309,2.1987492641637183,1.7390272358535932
3.024534373006025,2.605392731469906,1.9963485942272308
1.566773173961759,2.516524044581672,1.7409727442156488
1.4644756151190637,2.3235604683667943,1.7585707848790415
3.497226803770186,2.4623753992062274,2.07968457876612
2.1703203406869167,2.2309637045040995,1.8274987720247624
2.5342616383111425,2.4941011784513103,1.9260902352898197
4.0230321281630115,2.358620781271048,2.0512358871011562
1.0546207952111304,2.3707668163891222,1.8918534408449519
4.003721086878643,2.4061328915074816,2.05661632297931
2.4787193043870452,2.4190519879726193,1.9154394296116726
4.01220221224363,2.3780400424012513,2.054872056634841
1.2228088230169436,2.9917507534712415,1.8078033754518041
2.1118340565080818,2.193916086838667,1.8076880259405028
1.6168850583329344,1.83281371785785,1.7965501242271353
