AI_step,AI_VGS,AI_VGS_I
0.6606129398410853,0.563791282363859,0.32835207702367675
0.8120989917506983,0.0,0.14074151999262846
0.680341880341882,0.495824419782567,0.32945794659291106
0.9324894514767919,0.4540304630875425,0.17288187104523162
0.8075338434373156,0.37703080842103315,0.33018129422416825
0.9276807980049903,0.0,0.3036552178382599
0.5525876460767942,0.2861252580331495,0.21791612603481156
0.8804780876494059,0.4190409268147452,0.15581403975380703
0.5215946843853837,0.10417304420873127,0.17657553783434596
0.5140401146131799,0.0025040468332846897,0.10465819862201059
0.7981220657277008,0.28214763825200273,0.33532225132423027
0.9453961456102652,0.2810882421650538,0.176715059607026
0.6425339366515898,0.5641484630877439,0.2872094468366673
0.9556756756756761,0.5138257737745847,0.1738094648825019
0.929547844374344,0.4306017209297266,0.1718954263471332
0.5036252091466863,0.030955676419140786,0.11497185609719011
0.7146957520091913,0.5157596973204672,0.3313772150807706
0.9318323952470292,0.0,0.34294243667968083
0.632054176072234,0.5477347580846323,0.3023842216186534
0.7022961203483828,0.0,0.14143022110993067
0.5573496659242754,0.23433472072619463,0.21806570041782455
0.5759776536312894,0.45245499713655607,0.2274323163701919
0.8624390243902442,0.30968872205843884,0.14754549041994663
0.5038716814159312,0.12392363596213488,0.12596175929733922
0.5274012964054208,0.0,0.10503266848860604
0.9344608879492569,0.4658728040972924,0.1754203392007648
0.7220943613348733,0.6570769843705785,0.3283621859016541
0.9324894514767919,0.44148067419761716,0.17261984673187744
0.5176198729058368,0.0,0.10805009346439089
0.9344608879492569,0.4579355641538908,0.17382589828430486
0.6451612903225858,0.0,0.2876902010294058
0.5066371681415955,0.14084400016596743,0.13277177180883248
0.5498052309404561,0.4464747512992991,0.2144564230897151
