coeff_step,coeff_VGS,coeff_VGS_I
29.120868115268596,5.750944016684399,11.085662210385646
59.36654019123454,28.692168965076192,29.571596951593918
26.72893188280257,6.424229371813891,10.728240539993385
92.85466076870397,16.207288744118777,29.948051495966794
14.025757577242187,9.185361498061198,11.924338485233099
4.881480888215822,16.36164607996567,13.763579663310983
45.15971440959944,9.762093424421465,16.15730135870283
63.76828819822846,16.02179561147057,30.288683155478527
51.0193902768065,13.743280129451506,19.313835532776565
56.66989758312982,20.087967176013226,25.478809870481818
14.847044476342665,9.981616527837401,11.369200883001291
131.63833830645632,22.40919431788899,29.91645288968441
31.44664638371593,5.3615815428112255,13.42452419389614
254.921604379061,13.876358964225203,30.105496137252295
87.76467606528811,16.591254225466038,29.91980218094754
55.92239809261414,18.192739115613016,24.040478476435954
22.885849044374098,8.168380332803547,11.227084905608821
4.552371105741625,16.635691891433417,12.238902952969672
32.80444950047686,5.450270422864583,12.453787456592275
57.70312280453555,26.730975743750424,26.965220317894488
44.27166335506896,10.57288432134522,16.892933996418687
41.10067692664416,6.828913160909904,16.084436873298575
61.955274115249445,19.4718785879506,29.761048669477432
54.881564710843136,15.169588771858441,23.524443698983426
56.92787571009757,22.64556219936442,26.024330374963164
96.02897770402673,16.01318260604902,29.978479227513315
22.15379979528156,3.4629245377926092,11.315701172143063
93.94272630176754,16.596876011503017,29.99360801101938
56.744362338861556,21.56329584428183,25.70268617844246
94.48795489471036,16.164198267557293,29.974994252917174
31.09241688877513,12.460680733542024,13.329690567306455
54.327496021067965,15.24476641378482,22.79385685889109
45.692968041973735,7.389111785293507,16.38140628294375
